date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:30	8983188/8983188	---M--	200	added ('OK')	image/png	etag:%22891294-659c3483-e20f95d39fb15171;;;%22	https://savagecrown.xyz/wp-content/uploads/2024/01/NEW_LogoFlag_001.png	C:/My%20Web%20Sites/SavageSale/savagecrown.xyz/wp-content/uploads/2024/01/NEW_LogoFlag_001.png	(from https://savagetale.xyz/)
20:20:30	20616/20616	---M--	200	added ('OK')	image/webp	etag:%225088-641ac765-aeff0021304db0db;;;%22	https://savagetale.xyz/wp-content/uploads/2023/03/flags-left-1.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/03/flags-left-1.webp	(from https://savagetale.xyz/)
20:20:30	16736/16736	---M--	200	added ('OK')	image/webp	etag:%224160-641ac6c2-84d6684fe08fb14b;;;%22	https://savagetale.xyz/wp-content/uploads/2023/03/flags-left-2.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/03/flags-left-2.webp	(from https://savagetale.xyz/)
20:20:31	19418/19418	---M--	200	added ('OK')	image/webp	etag:%224bda-641ac6fd-25388a719fbfdd5b;;;%22	https://savagetale.xyz/wp-content/uploads/2023/03/flags-right-2.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/03/flags-right-2.webp	(from https://savagetale.xyz/)
20:20:31	32742/32742	---M--	200	added ('OK')	image/webp	etag:%227fe6-6476f562-c22b181e1efeba90;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_04_Alligator.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_04_Alligator.webp	(from https://savagetale.xyz/)
20:20:32	32894/32894	---M--	200	added ('OK')	image/webp	etag:%22807e-6476f5b3-190b6486c3d96510;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals04_Fox.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals04_Fox.webp	(from https://savagetale.xyz/)
20:20:34	48746/48746	---M--	200	added ('OK')	image/webp	etag:%22be6a-6476f4b5-338927db8991b1c9;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_03_Rhino.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_03_Rhino.webp	(from https://savagetale.xyz/)
20:20:34	45242/45242	---M--	200	added ('OK')	image/webp	etag:%22b0ba-6476f51b-7cdaf0257aee281;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_03_Hippo.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_03_Hippo.webp	(from https://savagetale.xyz/)
20:20:35	37552/37552	---M--	200	added ('OK')	image/webp	etag:%2292b0-6476f3ad-6406e27d3de1e901;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_02_Elephant.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_02_Elephant.webp	(from https://savagetale.xyz/)
20:20:35	50156/50156	---M--	200	added ('OK')	image/webp	etag:%22c3ec-6476f439-448e66b3d55dfcf2;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_02_Lion.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_02_Lion.webp	(from https://savagetale.xyz/)
